slot,display_title,artist,archive_item_url,direct_download_url,license,license_url
demo_song_aurora,Atlantean Twilight,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Atlantean%20Twilight.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_battle_drums,Asian Drums,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Asian%20Drums.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_cosmic_waves,Aftermath,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Aftermath.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_dark_tension,Anxiety,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Anxiety.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_epic_rise,Anguish,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Anguish.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_evening_calm,At Rest,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/At%20Rest.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_event_horizon,Aurea Carmina,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Aurea%20Carmina.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_final_stand,Action,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Action.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_fluffing_duck,Amazing Plan,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Amazing%20Plan.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_gentle_breeze,Autumn Day,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Autumn%20Day.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_heroic_theme,Aces High,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Aces%20High.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_monkeys_spinning,Adventure Meme,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Adventure%20Meme.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_morning_light,Arcadia,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Arcadia.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_nebula_drift,Anamalie,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Anamalie.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_pixel_peeker,8bit Dungeon Boss,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/8bit%20Dungeon%20Boss.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_quiet_moments,Awaiting Return,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Awaiting%20Return.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_scheming_weasel,Awkward Meeting,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Awkward%20Meeting.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_solar_wind,8bit Dungeon Level,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/8bit%20Dungeon%20Level.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_starfield,Arid Foothills,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Arid%20Foothills.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_starlit_path,Avec Soin,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Avec%20Soin.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_the_builder,At Launch,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/At%20Launch.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
demo_song_victory_march,Americana,Kevin MacLeod,https://archive.org/details/Incompetech,https://archive.org/download/Incompetech/mp3-royaltyfree/Americana.mp3,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
